--- OPEN LIBRARY: shipbuilding (6763 total) ---
  History of the Filipino People | Teodoro A. Agoncillo | 1969 | https://openlibrary.org/works/OL1629183W
  Salt | Mark Kurlansky | 2002 | https://openlibrary.org/works/OL16026786W
  Sofies verden | Jostein Gaarder | 1991 | https://openlibrary.org/works/OL922430W
  At Home | Bill Bryson | 2010 | https://openlibrary.org/works/OL15100470W
  Bad Samaritans | Ha-Joon Chang | 1998 | https://openlibrary.org/works/OL3917938W
  Hustle | Digital Pixls | 2021 | https://openlibrary.org/works/OL27235918W
  Dangerous trade | Joseph Melling | 2011 | https://openlibrary.org/works/OL15936576W
  She | H. Rider Haggard | 1886 | https://openlibrary.org/works/OL17453W
  The Silk Roads | Peter Frankopan | 2015 | https://openlibrary.org/works/OL19666939W
  A Child's History of England | Charles Dickens | 1800 | https://openlibrary.org/works/OL9250413W
  Skilled hands, strong spirits | Grace Palladino | 2004 | https://openlibrary.org/works/OL2980497W
  Gathering Places | Carolyn Podruchny | 2010 | https://openlibrary.org/works/OL21238410W
  A history of graphic design | Philip B. Meggs | 1983 | https://openlibrary.org/works/OL2722401W
  The Trans-Saharan Slave Trade (History and Society in the Islamic World) | John Wright | 2007 | https://openlibrary.org/works/OL15247076W
  Birchbark brigade | Cris Peterson | 2009 | https://openlibrary.org/works/OL2024354W
  The History of Tom Jones | Henry Fielding | 1749 | https://openlibrary.org/works/OL45623W
  The African slave trade | Basil Davidson | 1961 | https://openlibrary.org/works/OL15841365W
  Hanʻguk muyŏksa | Chin-ha Kim | 1972 | https://openlibrary.org/works/OL33546455W
  The Outline of History | H. G. Wells | 1919 | https://openlibrary.org/works/OL52264W
  Art | Frederick Hartt | 1969 | https://openlibrary.org/works/OL3900754W

--- OPEN LIBRARY: engineering (347994 total) ---
  Engineering Mechanics, Statics & Dynamics | R. C. Hibbeler | 1974 | https://openlibrary.org/works/OL1865037W
  The Ringworld Engineers (Ringworld) | Larry Niven | 1979 | https://openlibrary.org/works/OL510404W
  Advanced Engineering Mathematics | Erwin Kreyszig | 1957 | https://openlibrary.org/works/OL1400344W
  Software Engineering | Roger S. Pressman | 1982 | https://openlibrary.org/works/OL284009W
  Physics for scientists and engineers | Raymond A. Serway | 1982 | https://openlibrary.org/works/OL65071W
  The Mythical Man-Month | Frederick P. Brooks | 1974 | https://openlibrary.org/works/OL3510570W
  Physics for scientists and engineers | Paul A. Tipler | 1990 | https://openlibrary.org/works/OL1984422W
  The Difference Engine | William Gibson | 1990 | https://openlibrary.org/works/OL27252W
  Introduction to chemical engineering thermodynamics | J. M. Smith | 1949 | https://openlibrary.org/works/OL3008760W
  Social Engineering | Christopher Hadnagy | 2011 | https://openlibrary.org/works/OL16495169W
  Engineering Mechanics, Statics | R. C. Hibbeler | 1920 | https://openlibrary.org/works/OL1865034W
  Engineers of distinction | unknown | 1973 | https://openlibrary.org/works/OL20919078M
  Mortal Engines | Philip Reeve | 2001 | https://openlibrary.org/works/OL5826881W
  Materials science and engineering | William D. Callister | 1985 | https://openlibrary.org/works/OL3268935W
  Higher Engineering Mathematics | B.S. Grewal | 2001 | https://openlibrary.org/works/OL20937686W
  Engineering mechanics | J. L. Meriam | 1978 | https://openlibrary.org/works/OL3275175W
  Transactions on Engineering Technologies | Sio-Iong Ao | 2013 | https://openlibrary.org/works/OL20667190W
  Civil Engineering | Alan Williams | 1999 | https://openlibrary.org/works/OL279089W
  Engineering mathematics | Bird, J. O. | 1989 | https://openlibrary.org/works/OL894218W
  Engineering mathematics | K. A. Stroud | 1970 | https://openlibrary.org/works/OL5264681W
  Fundamentals of engineering thermodynamics | Michael J. Moran | 1988 | https://openlibrary.org/works/OL2916926W
  Essentials of bridge engineering | D. Johnson Victor | 1980 | https://openlibrary.org/works/OL10569716W
  Electrical engineering | Allan R. Hambley | 2001 | https://openlibrary.org/works/OL16979883W
  The Little Engine That Could | Watty Piper | 1978 | https://openlibrary.org/works/OL8137886W
  Inner Engineering | Sadhguru Vasudev | 2018 | https://openlibrary.org/works/OL20569778W

--- OPEN LIBRARY: woodworking (8411 total) ---
  Modern woodworking | Willis H. Wagner | 1967 | https://openlibrary.org/works/OL2906070W
  The woodworker's bible | Percy W. Blandford | 1976 | https://openlibrary.org/works/OL3936186W
  Woodworking for Dummies | Jeff Strong | 2003 | https://openlibrary.org/works/OL5740976W
  Woodworking | Willis H. Wagner | 1961 | https://openlibrary.org/works/OL2906069W
  American woodworker woodworking techniques | Rodale Press | 1988 | https://openlibrary.org/works/OL17020801W
  The Essential Woodworker | Robert Wearing | 1988 | https://openlibrary.org/works/OL3356949W
  Tage Frid Teaches Woodworking. Book 2 | Tage Frid | 1979 | https://openlibrary.org/works/OL3929159W
  Industrial arts woodworking | John Louis Feirer | 1950 | https://openlibrary.org/works/OL2703038W
  Traditional woodworking handtools | Graham Blackburn | 1998 | https://openlibrary.org/works/OL522729W
  Modern Woodworking Instructors Guide and Answer Key | Willis H. Wagner | 1991 | https://openlibrary.org/works/OL2906062W
  General woodworking | Chris Harold Groneman | 1952 | https://openlibrary.org/works/OL5475713W
  Exploring woodworking | Fred W. Zimmerman | 1991 | https://openlibrary.org/works/OL1898011W
  Machine woodworking | Nick Rudkin | 1998 | https://openlibrary.org/works/OL7829015W
  Advanced woodwork and furniture making | John Louis Feirer | 1954 | https://openlibrary.org/works/OL2703035W
  The complete book of woodwork | Charles Harold Hayward | 1955 | https://openlibrary.org/works/OL8452485W
  Woodworking | Logan Kelley | 2017 | https://openlibrary.org/works/OL20212259W
  Woodworking simplified | David R. Stiles | 1996 | https://openlibrary.org/works/OL1805855W
  Woodworking technology | James J. Hammond | 1961 | https://openlibrary.org/works/OL6577909W
  The woodworker's pocket book | Charles Harold Hayward | 1963 | https://openlibrary.org/works/OL8452486W
  Woodworking tools & techniques | Marshall, Chris | 2004 | https://openlibrary.org/works/OL6037949W
  Woodworking for the serious beginner | Pamela Philpott-Jones | 1995 | https://openlibrary.org/works/OL1752891W
  Japanese woodworking tools | Toshio Ōdate | 1984 | https://openlibrary.org/works/OL1838222W
  The Woodworker's Handbook | Roger Horwood | 2000 | https://openlibrary.org/works/OL3268749W
