--- INTERNET ARCHIVE: shipbuilding (9340 total) ---
{"responseHeader":{"status":0,"QTime":54,"params":{"query":"(((text:naval OR text:naval OR text__reviews:naval)(text:architecture OR text:architecture OR text__reviews:architecture)) OR (text:&quot;naval architecture&quot; OR text:&quot;naval architecture&quot; OR text__reviews:&quot;naval architecture&quot;)) AND mediatype:texts","qin":"naval architecture AND mediatype:texts","fields":"identifier,title,creator,year","wt":"json","rows":25,"start":0}},"response":{"numFound":6903,"start":0,"docs":[{"creator":"Lenzi, Allison F.","identifier":"operationalanaly1094565390","title":"OPERATIONAL ANALYSIS AND EARLY-STAGE DESIGN FOR NEXT GENERATION MCM THROUGH DIGITAL ENGINEERING","year":2020},{"identifier":"assessingthreatc0000unse","title":"Assessing the threat : the Chinese military and Taiwan's security","year":2007},{"creator":"Roth, Christopher","identifier":"adistributedpass109455847","title":"A distributed password scheme for network operating systems","year":2002},{"creator":"Cisleanu, Radu Constantin","identifier":"politicalndmilit1094544538","title":"Political and military challenges of the Republic of Moldova in the context of security in the Black Sea Basin","year":2014},{"creator":"Gerhart, Charlotte M.","identifier":"amodelforcommuni109455594","title":"A model for communications satellite system architecture assessment","year":2011},{"creator":"Potter, David Arthur.","identifier":"preliminaryturbi00pott","title":"Preliminary turbine design for thermal cycle feasibility.","year":1974},{"creator":["Browne, William Hand, 1828-1912, ed. cn","Hall, Clayton Colman, 1847-1916, ed. cn","Steiner, Bernard Christian, 1867-1926 ed","Maryland Historical Society. cn"],"identifier":"archivesofmaryla25brow","title":"Archives of Maryland","year":1883},{"creator":"Ramakdawala, Rizwan R.","identifier":"preliminarydesig109451494","title":"Preliminary design code for an axial stage compressor","year":2001},{"creator":"Fields, Brian C.","identifier":"developmentofhar1094547945","title":"Development of a hardware-in-the-loop simulator for control moment gyroscope-based attitude control systems","year":2015},{"creator":"Sajonia, Charles Blake.","identifier":"randomwaveforces00sajopdf","title":"Random wave forces on a free-to-surge vertical cylinder","year":1988},{"creator":"Toledo-Ramirez, Rommel","identifier":"designofnobjecto109452537","title":"Design of an object oriented and modular architecture for a naval tactical simulator using Delta3D's game manager","year":2006},{"identifier":"bub_gb_Std8Ou1kZ9EC","title":"Rudimentary Dictionary of Terms Used in Architecture Civil, Architecture Naval ...","year":1860},{"creator":"Lowe, Beverly James.;Sierer, Payson Dwight.","identifier":"claddingthicknes00lowe","title":"Cladding thickness of fuel elements by X-rays","year":1958},{"creator":"Golden, Daniel Wilson","identifier":"numericalmethodf00goldpdf","title":"A numerical method for two-dimensional, cavitating, lifting flows.","year":1975},{"creator":"Reese, Ronald Malcolm.","identifier":"analysisofhydrog1094515979","title":"Analysis of a hydrogen-oxygen semi-closed rankine cycle propulsion plant for deep submersibles.","year":1972},{"creator":"Kolodziejczak, Gregory Conrad.","identifier":"grouptechnologya00kolopdf","title":"Group technology applications in shipboard piping system manufacture.","year":1985},{"creator":"Chow, David J.","identifier":"exploringfeasibi1094534645","title":"Exploring the feasibility of providing electrical power to remote bases via space-based solar power satellites","year":2013},{"creator":"Cantrell, Walter Hollingsworth;Didier, Jacob Peter","identifier":"lowcyclefatigued00cantpdf","title":"Low-cycle fatigue damage in HY-80 steel","year":1965},{"creator":"Reed, Jeffrey S.","identifier":"measurementoffor1094522349","title":"Measurement of forces and moments on","year":1987},{"creator":"Powers, Lynn Frederick","identifier":"influenceofplatf00powe","title":"The influence of platform-conductor gaps on the dynamic response of offshore platforms.","year":1978},{"creator":"Baker, Gary Stewart","identifier":"initializationde1094520563","title":"Initialization design for dynamic determination of resources","year":1981},{"creator":"DeVisser, Kristopher K.","identifier":"qualificationndc1094556905","title":"Qualification and certification of 3D printed parts for naval ships","year":2017},{"creator":"Watson, David G. M","identifier":"practicalshipdes0000wats","title":"Practical ship design","year":2002},{"creator":"Hicks, David M.","identifier":"afunctionalrchit109451831","title":"A functional architecture for a logistics expert system in a sea based environment","year":2005},{"creator":"Marco, David Bryan","identifier":"autonomouscontro109458017","title":"Autonomous control of underwater vehicles and local area maneuvering","year":1996}]}}

--- INTERNET ARCHIVE: trade (837945 total) ---
  The 3rd underground shopper : new guide to discount mail-order shopping | Goldstein, Sue, 1941- | https://archive.org/details/3rdundergroundsh0000gold
  Where have all our Giants gone? | Miller, Stuart, 1966- | https://archive.org/details/wherehaveallourg0000mill
  While in pursuit of the perfect ballad | Motketsan, Edward | https://archive.org/details/whileinpursuitof0000motk
  Sweet summer : growing up with and without my dad | Campbell, Bebe Moore, 1950-2006 | https://archive.org/details/sweetsummer00bebe_0
  When someone you know has AIDS : a practical guide | Martelli, Leonard J | https://archive.org/details/whensomeoneyoukn0000mart
  The Jewelers' Circular 1915-08-11: Vol 71 Iss 2 | unknown | https://archive.org/details/sim_jck_1915-08-11_71_2
  Municipal Engineering 1927-01: Vol 72 Iss 1 | unknown | https://archive.org/details/sim_water-engineering-management_1927-01_72_1
